year,film,category,name,won,discount,role,category2
1998,Shakespeare in Love,MUSIC,Stephen Warbeck ,won,,NA,(Original Musical or Comedy Score)
1998,Shakespeare in Love,BEST PICTURE,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers ",won,,NA,NA
1998,Shakespeare in Love,SOUND,"Robin O'Donoghue, Dominic Lester, Peter Glossop",,,NA,NA
1998,Shakespeare in Love,WRITING,"Marc Norman, Tom Stoppard ",won,,NA,(Screenplay Written Directly for the Screen)
2008,The Curious Case of Benjamin Button,ACTOR IN A LEADING ROLE,Brad Pitt,,,"{""Benjamin Button""}",NA
2008,The Curious Case of Benjamin Button,ACTRESS IN A SUPPORTING ROLE,Taraji P. Henson,,,"{""Queenie""}",NA
2008,The Curious Case of Benjamin Button,ART DIRECTION,Art Direction: Donald Graham Burt; Set Decoration: Victor J. Zolfo,won,,NA,NA
2008,The Curious Case of Benjamin Button,CINEMATOGRAPHY,Claudio Miranda,,,NA,NA
2008,The Curious Case of Benjamin Button,COSTUME DESIGN,Jacqueline West,,,NA,NA
2008,The Curious Case of Benjamin Button,DIRECTING,David Fincher,,,NA,NA
2008,The Curious Case of Benjamin Button,FILM EDITING,Kirk Baxter and Angus Wall,,,NA,NA
2008,The Curious Case of Benjamin Button,MAKEUP,Greg Cannom,won,,NA,NA
2008,The Curious Case of Benjamin Button,MUSIC,Alexandre Desplat,,,NA,(Original Score)
2008,The Curious Case of Benjamin Button,BEST PICTURE,"Kathleen Kennedy, Frank Marshall and Ceán Chaffin, Producers",,,NA,NA
2008,The Curious Case of Benjamin Button,SOUND MIXING,"David Parker, Michael Semanick, Ren Klyce and Mark Weingarten",,,NA,NA
2008,The Curious Case of Benjamin Button,VISUAL EFFECTS,"Eric Barba, Steve Preeg, Burt Dalton and Craig Barron",won,,NA,NA
2008,The Curious Case of Benjamin Button,WRITING,Screenplay by Eric Roth; Screen story by Eric Roth and Robin Swicord,,,NA,(Adapted Screenplay)
2001,The Lord of the Rings: The Fellowship of the Ring,ACTOR IN A SUPPORTING ROLE,Ian McKellen,,,"{""Gandalf""}",NA
2001,The Lord of the Rings: The Fellowship of the Ring,ART DIRECTION,Art Direction: Grant Major; Set Decoration: Dan Hennah,,,NA,NA
2001,The Lord of the Rings: The Fellowship of the Ring,CINEMATOGRAPHY,Andrew Lesnie,won,,NA,NA
2001,The Lord of the Rings: The Fellowship of the Ring,COSTUME DESIGN,"Ngila Dickson, Richard Taylor",,,NA,NA
2001,The Lord of the Rings: The Fellowship of the Ring,DIRECTING,Peter Jackson,,,NA,NA
2001,The Lord of the Rings: The Fellowship of the Ring,FILM EDITING,John Gilbert,,,NA,NA
